customer_id,campaign,response,response_date,purchase,purchase_date,product_id,Rowid,age,age_youngest_child,average#balance#feed#index,branch,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,marital,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score,X_random,Partition,$S-campaign-1,$SC-campaign-1,$S-campaign-2,$SC-campaign-2
15,"Car loan",0,,0,,,3,45,12,75,"Ravensville",45,"F",0,0,0,65,13453.000,"U",2,33,"36",0,4,2,1,14,19,7.602,1,"2_Testing","Savings",0.970,"Pension",0.902
16,"Car loan",1,2006-07-05 00:00:00,0,,183,761,43,12,161,"Catburg",43,"F",0,0,0,65,13453.000,"U",2,34,"36",0,0,3,2,14,19,10.143,1,"2_Testing","Savings",0.970,"Pension",0.902
30,"Car loan",0,,0,,,6,23,0,0,"Princeton",23,"F",0,0,0,65,13453.000,"S",2,30,"36",0,1,0,0,14,19,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
42,"Car loan",0,,0,,,10,35,8,0,"Queensbury",35,"M",0,0,0,65,13453.000,"M",2,22,"24",0,1,0,0,14,19,0.000,3,"2_Testing","Car loan",0.988,"Savings",0.970
52,"Car loan",0,,0,,,11,43,12,0,"Foxton",43,"M",0,0,0,47,14124.000,"U",3,40,"48",3,1,0,0,16,35,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
57,"Car loan",0,,0,,,12,51,19,0,"Catburg",51,"M",0,0,0,50,14838.000,"S",2,33,"36",3,0,0,0,9,39,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
74,"Car loan",0,,0,,,13,31,0,0,"Ravensville",31,"M",0,0,0,50,14838.000,"S",3,0,"12",3,3,0,0,9,39,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
74,"Savings",0,,0,,,14,31,0,0,"Ravensville",31,"M",0,0,0,50,14838.000,"S",3,0,"12",3,3,0,0,9,39,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
89,"Savings",0,,0,,,17,46,11,665,"Kingsville",46,"M",0,0,0,32,14783.000,"M",2,6,"12",6,3,2,1,25,42,7.799,1,"2_Testing","Savings",0.970,"Car loan",0.615
90,"Savings",0,,0,,,20,70,38,73,"Ravensville",70,"F",0,0,0,32,14783.000,"M",1,35,"36",6,2,2,2,25,42,11.803,1,"2_Testing","Savings",0.970,"Car loan",0.916
95,"Car loan",1,2006-07-19 00:00:00,1,,421,1939,39,11,748,"Catburg",39,"M",0,0,0,32,14783.000,"S",2,16,"24",6,2,4,3,25,42,12.407,3,"2_Testing","Pension",0.148,"Mortgage",0.078
105,"Car loan",0,,0,,,24,31,0,0,"Princeton",31,"F",0,0,0,32,14783.000,"S",2,17,"24",6,0,0,0,25,42,0.000,3,"2_Testing","Car loan",0.988,"Savings",0.970
106,"Car loan",0,,0,,,25,36,7,0,"Kingsville",36,"F",0,0,0,32,14783.000,"M",2,-1,"0",6,1,0,0,25,42,0.000,2,"2_Testing","Car loan",0.988,"Savings",0.970
121,"Car loan",1,2006-07-10 00:00:00,0,,421,1184,49,18,241,"Queensbury",49,"F",0,0,0,77,15494.000,"M",7,28,"36",1,1,2,1,6,16,10.352,1,"2_Testing","Savings",0.961,"Mortgage",0.922
132,"Car loan",0,,0,,,28,38,11,397,"Kingsville",38,"F",0,0,0,38,15512.000,"S",5,30,"36",5,1,5,4,11,49,13.587,2,"2_Testing","Mortgage",0.922,"Savings",0.799
139,"Car loan",0,,0,,,31,38,9,0,"Queensbury",38,"M",0,0,0,60,15535.000,"U",7,19,"24",1,1,0,0,15,24,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
147,"Car loan",0,,0,,,32,37,7,0,"Princeton",37,"M",0,0,0,58,15562.000,"M",7,11,"24",1,0,0,0,10,31,0.000,3,"2_Testing","Car loan",0.988,"Savings",0.970
155,"Car loan",0,,0,,,33,42,14,0,"Ravensville",42,"F",0,0,0,58,15562.000,"U",7,-2,"0",1,2,0,0,10,31,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
156,"Car loan",0,,0,,,35,34,5,0,"Kingsville",34,"M",0,0,0,58,15562.000,"S",7,27,"36",1,0,0,0,10,31,0.000,3,"2_Testing","Car loan",0.988,"Savings",0.970
161,"Savings",0,,0,,,39,54,29,76,"Ravensville",54,"M",0,0,0,42,15576.000,"S",1,39,"48",4,0,2,1,17,40,7.702,1,"2_Testing","Savings",0.970,"Mortgage",0.922
164,"Savings",0,,0,,,42,35,6,0,"Foxton",35,"F",0,0,0,42,15576.000,"S",2,-3,"0",4,1,1,0,17,40,0.000,3,"2_Testing","Car loan",0.988,"Savings",0.970
181,"Car loan",0,,0,,,44,77,48,139,"Princeton",77,"M",0,0,0,60,16292.000,"M",2,36,"48",1,2,4,3,16,23,9.792,2,"2_Testing","Savings",0.970,"Mortgage",0.910
183,"Car loan",1,2006-07-06 00:00:00,0,,421,840,57,28,499,"Foxton",57,"F",0,0,0,60,16292.000,"S",2,15,"24",1,7,1,1,16,23,10.299,2,"2_Testing","Savings",0.960,"Pension",0.894
191,"Car loan",0,,0,,,47,24,0,0,"Queensbury",24,"F",0,0,0,60,16287.000,"S",3,17,"24",1,1,0,0,7,32,0.000,3,"2_Testing","Car loan",0.988,"Savings",0.970
193,"Savings",0,,0,,,49,40,10,34,"Princeton",40,"F",0,0,0,60,16287.000,"U",3,41,"48",1,0,1,1,7,32,11.563,2,"2_Testing","Savings",0.970,"Mortgage",0.922
199,"Car loan",0,,0,,,51,37,3,0,"Ravensville",37,"F",0,0,0,60,16287.000,"S",3,39,"48",1,0,0,0,7,32,0.000,1,"2_Testing","Car loan",0.988,"Savings",0.970
203,"Car loan",0,,0,,,52,46,17,0,"Princeton",46,"F",0,0,0,41,16347.000,"S",7,30,"36",4,1,0,0,11,46,0.000,2,"2_Testing","Car loan",0.988,"Savings",0.970
204,"Car loan",0,,0,,,54,18,0,412,"Queensbury",18,"F",0,0,0,41,16347.000,"S",7,19,"24",4,1,5,5,11,46,11.929,1,"2_Testing","Mortgage",0.922,"Car loan",0.196
