customer_id,age,age_youngest_child,debt_equity,gender,bad_payment,gold_card,pension_plan,household_debt_to_equity_ratio,income,members_in_household,months_current_account,months_customer,call_center_contacts,loan_accounts,number_products,number_transactions,non_worker_percentage,white_collar_percentage,rfm_score
50196,38,10,38,0,0,0,0,59,50756.0,5,18,24,1,0,0,0,6,34,0.0
28627,44,17,44,0,0,0,0,40,41016.0,7,10,12,5,3,0,0,10,49,0.0
9644,22,0,22,0,0,0,0,54,31258.0,6,28,36,2,1,4,1,8,36,10.312000000000001
5575,31,1,31,1,0,0,0,51,28185.0,5,22,24,3,0,2,1,13,34,10.363
46720,41,14,41,1,0,0,0,63,48580.0,6,38,48,1,3,0,0,10,25,0.0
25899,57,28,57,0,0,0,0,45,39859.0,5,24,36,4,0,1,1,11,43,9.179
39654,41,9,41,1,0,0,0,62,45893.0,7,-6,0,1,5,0,0,9,27,0.0
62328,45,14,45,0,0,0,0,59,55530.0,6,29,36,2,0,2,1,8,31,7.5360000000000005
46708,39,7,39,0,0,0,0,52,48562.0,5,39,48,3,1,3,2,9,38,11.491
54984,48,19,48,1,0,0,0,43,52629.0,4,7,12,4,3,3,3,17,38,11.725999999999999
6704,37,9,37,0,0,0,0,48,28717.0,2,15,24,3,1,0,0,7,43,0.0
12255,49,16,49,0,0,0,0,58,32222.0,5,20,24,2,0,3,1,11,30,9.426
46473,37,11,37,0,0,0,0,42,48529.0,7,32,36,4,2,0,0,14,42,0.0
55791,62,31,62,1,0,0,0,56,53243.0,4,35,36,2,1,0,0,10,32,0.0
1748,53,24,53,0,0,0,0,30,23421.0,5,32,36,6,1,0,0,18,51,0.0
5412,36,1,36,0,0,0,0,64,27846.0,3,36,48,0,1,4,1,14,20,11.302999999999999
40719,63,37,63,0,0,0,0,39,46462.0,5,32,36,5,0,2,1,12,48,11.317
58042,19,0,19,0,0,0,0,70,54373.0,4,35,48,0,0,3,2,6,22,13.280999999999999
7223,30,1,30,1,0,0,0,40,29718.0,2,13,24,5,2,5,5,12,47,12.172
31873,37,8,37,0,0,0,0,57,42021.0,5,40,48,2,2,3,2,14,27,12.982999999999999
18374,39,12,39,1,0,0,0,47,35852.0,5,-3,0,4,0,0,0,12,40,0.0
20577,34,0,34,0,0,0,0,61,37523.0,3,13,24,1,0,0,0,14,23,0.0
23775,30,1,30,0,0,0,0,51,38515.0,4,-1,0,3,0,1,0,10,37,0.0
30221,24,0,24,1,0,0,0,59,41284.0,3,38,48,1,4,0,0,5,34,0.0
50673,33,0,33,1,0,0,0,48,50947.0,6,-4,0,3,0,0,0,8,43,0.0
12184,46,15,46,0,0,0,0,34,32162.0,4,12,24,6,1,0,0,18,47,0.0
7658,47,17,47,0,0,0,0,41,29956.0,5,14,24,4,1,4,3,11,46,11.352
32022,25,0,25,1,0,0,0,46,42078.0,3,25,36,4,1,0,0,14,38,0.0
24759,53,24,53,1,0,0,0,66,39310.0,1,39,48,0,0,2,2,18,14,10.383
45133,54,23,54,1,0,0,0,44,47966.0,2,27,36,4,2,3,2,9,45,8.619
26333,42,11,42,0,0,0,0,60,39914.0,5,-2,0,1,1,0,0,12,27,0.0
20987,23,0,23,1,0,0,0,71,37667.0,6,28,36,0,0,2,2,8,19,8.527999999999999
42303,35,5,35,0,0,0,0,47,46595.0,2,23,24,4,1,1,1,12,40,13.299000000000001
25231,51,24,51,0,0,0,0,54,39365.0,2,7,12,2,0,0,0,8,36,0.0
39568,41,13,41,1,0,0,0,65,45791.0,2,6,12,0,0,2,2,11,22,10.367
61260,36,6,36,1,0,0,0,61,55288.0,2,21,24,1,0,2,1,9,29,9.316
45816,22,0,22,0,0,0,0,43,48147.0,4,11,24,4,0,0,0,11,44,0.0
39595,37,7,37,1,0,0,0,60,45774.0,7,0,12,1,2,0,0,12,26,0.0
3727,41,11,41,0,0,0,0,54,26333.0,2,32,36,2,0,0,0,11,33,0.0
46327,33,1,33,0,0,0,0,28,48459.0,4,24,36,7,1,0,0,15,56,0.0
48654,31,1,31,0,0,0,0,51,49888.0,6,40,48,3,1,4,1,16,32,7.819
93909,64,32,64,1,0,0,0,43,67486.0,1,40,48,4,3,0,7,15,40,14.975
51709,43,14,43,1,0,0,0,66,51253.0,7,28,36,0,0,0,0,10,23,0.0
14881,19,0,19,1,0,1,0,69,33943.0,2,37,48,0,3,4,2,13,17,8.46
52912,38,7,38,1,0,0,0,46,51747.0,6,25,36,4,1,0,0,16,37,0.0
30360,37,11,37,0,0,0,0,67,41317.0,5,22,24,0,4,2,1,10,21,7.3870000000000005
19486,40,12,40,0,0,0,0,55,36707.0,7,40,48,2,4,1,1,11,33,8.987
52109,21,0,21,1,0,0,0,44,51490.0,7,34,36,4,0,0,0,12,42,0.0
16534,54,21,54,0,0,0,0,70,35132.0,3,12,24,0,0,1,1,7,22,8.392999999999999
25430,39,10,39,1,0,0,0,41,39771.0,3,-3,0,4,2,1,0,12,46,0.0
47791,25,0,25,1,0,0,0,59,49343.0,6,12,24,1,0,0,0,8,31,0.0
29161,28,0,28,1,0,0,0,49,40951.0,3,12,24,3,0,4,1,17,32,8.542
9001,36,5,36,0,0,0,0,64,30986.0,5,-1,0,1,0,0,0,18,17,0.0
57352,23,0,23,1,0,0,0,44,53959.0,4,29,36,4,1,0,0,12,43,0.0
15539,40,10,40,1,0,0,0,49,34703.0,6,39,48,3,3,3,2,17,32,12.341
38388,25,0,25,1,0,0,0,58,45520.0,6,13,24,1,0,0,0,17,23,0.0
35131,41,14,41,0,0,0,0,63,43610.0,7,25,36,1,1,3,2,8,27,13.158
1718,50,21,50,1,0,0,0,58,23253.0,6,-2,0,2,0,0,0,13,27,0.0
10760,33,0,33,0,0,0,0,55,31935.0,5,13,24,2,1,0,0,15,28,0.0
116714,47,19,47,1,0,0,0,38,78093.0,3,23,36,5,0,2,2,13,47,8.433
30148,39,8,39,0,0,0,0,29,41258.0,6,40,48,6,3,3,1,18,51,9.436
30170,44,12,44,1,0,0,0,32,41313.0,5,13,24,6,2,0,0,19,47,0.0
42211,37,8,37,1,0,0,0,59,46578.0,4,33,36,1,5,6,3,8,32,9.822000000000001
3963,28,0,28,1,0,0,0,53,26479.0,6,14,24,3,0,1,1,9,37,8.432
9743,38,10,38,0,0,0,0,50,31275.0,3,25,36,3,3,5,1,15,33,9.732999999999999
81841,37,6,37,1,0,0,0,60,62646.0,4,17,24,1,0,2,1,15,23,11.417
59051,39,10,39,1,0,0,0,56,54622.0,2,38,48,2,3,2,1,4,39,10.216000000000001
46843,37,10,37,0,0,0,0,39,48606.0,7,-3,0,5,3,1,0,18,42,0.0
8638,49,24,49,0,0,0,0,68,30833.0,5,7,12,0,3,0,0,11,20,0.0
61749,36,8,36,0,0,0,0,55,55255.0,2,41,48,2,0,2,1,11,32,10.989
54112,45,21,45,0,0,0,0,56,52494.0,5,0,12,2,1,0,0,14,28,0.0
20020,50,25,50,0,0,0,0,59,37117.0,2,12,24,1,0,4,1,9,30,9.182
